model,layer,pos,var,mode,rank,train_acc,base_acc,base_yes,all,disagree,same_dim_swap,heldout_lex,invented_alg,other_labels(y_heur),all_alpha0.25,all_alpha0.5,all_alpha0.75,other_labels(y_alg)
qwen3-4b-base,12,u2,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.525,0.28,0.298,0.563,0.512,0.652,0.497,0.525,0.529,
qwen3-4b-base,12,u2,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.652,0.72,0.584,0.656,0.512,,0.52,0.603,0.643,0.525
qwen3-4b-base,16,last,alg,learned,16,0.496875,0.6883333333333334,0.23166666666666666,0.496,0.387,0.463,0.504,0.502,0.548,0.49,0.486,0.481,
qwen3-4b-base,16,last,alg,random,16,,0.6883333333333334,0.23166666666666666,0.5,0.504,0.506,0.507,0.496,0.506,0.498,0.503,0.497,
qwen3-4b-base,16,last,heur,learned,16,0.71875,0.6883333333333334,0.23166666666666666,0.514,0.507,0.512,0.539,0.501,,0.507,0.51,0.515,0.5
qwen3-4b-base,16,last,alg,learned,64,0.49375,0.6883333333333334,0.23166666666666666,0.494,0.424,0.499,0.523,0.503,0.524,0.493,0.481,0.492,
qwen3-4b-base,16,last,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.499,0.484,0.519,0.523,0.503,0.503,0.507,0.505,0.504,
qwen3-4b-base,16,last,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.503,0.516,0.492,0.511,0.503,,0.505,0.514,0.507,0.499
qwen3-4b-base,16,u1,alg,learned,16,0.525,0.6883333333333334,0.23166666666666666,0.497,0.456,0.501,0.515,0.503,0.516,0.5,0.499,0.497,
qwen3-4b-base,16,u1,alg,random,16,,0.6883333333333334,0.23166666666666666,0.503,0.504,0.503,0.502,0.494,0.504,0.499,0.501,0.495,
qwen3-4b-base,16,u1,heur,learned,16,0.728125,0.6883333333333334,0.23166666666666666,0.524,0.531,0.499,0.516,0.499,,0.506,0.508,0.516,0.505
qwen3-4b-base,16,u1,alg,learned,64,0.5125,0.6883333333333334,0.23166666666666666,0.505,0.471,0.481,0.507,0.497,0.525,0.496,0.504,0.502,
qwen3-4b-base,16,u1,alg,random,64,,0.6883333333333334,0.23166666666666666,0.501,0.502,0.504,0.499,0.5,0.504,0.496,0.502,0.5,
qwen3-4b-base,16,u1,heur,learned,64,0.71875,0.6883333333333334,0.23166666666666666,0.54,0.564,0.52,0.516,0.5,,0.504,0.512,0.544,0.508
