model,layer,pos,var,mode,rank,seed,all,disagree,heldout,invented
qwen3-4b-base,8,u1,heur,learned,64,0,0.6405573338354359,0.5378010704727921,0.6589672953309318,0.499375
qwen3-4b-base,16,u1,alg,random,16,0,0.503125,0.5042372881355932,0.5022841693082231,0.494375
qwen3-4b-base,4,u1,alg,random,64,0,0.5010416666666666,0.4626449598572703,0.504568338616446,0.49937499999999996
qwen3-4b-base,4,u1,alg,random,4,0,0.5020833333333333,0.5063559322033898,0.504568338616446,0.498125
qwen3-4b-base,8,u1,alg,learned,128,0,0.6114583333333333,0.45662355040142727,0.619149729628939,0.5
qwen3-4b-base,8,u1,heur,full,2560,0,0.7819462750266741,0.6829839429081177,0.7804089849544396,0.505625
qwen3-4b-base,16,u1,heur,learned,16,0,0.5239597062700057,0.5309991079393399,0.5155929928657201,0.499375
qwen3-4b-base,24,last,alg,full,2560,0,0.503125,0.1866636931311329,0.5489775623096526,0.506875
qwen3-4b-base,4,u1,heur,full,2560,0,0.8487259147680914,0.7772078501338091,0.8445115490570037,0.49687499999999996
qwen3-4b-base,8,u1,alg,random,64,1,0.4958333333333333,0.4868421052631579,0.49630182112001986,0.505
qwen3-4b-base,20,last,heur,full,2560,0,0.5408115232536246,0.5704727921498662,0.5281309599491417,0.493125
qwen3-4b-base,4,last,heur,learned,16,0,0.5121289148308542,0.5089206066012489,0.5173765628311083,0.5018750000000001
qwen3-4b-base,8,u1,heur,learned,64,1,0.6343438147241575,0.5250892060660125,0.6584022038567493,0.50375
qwen3-4b-base,4,u1,alg,random,128,0,0.496875,0.5042372881355932,0.5047703399838399,0.500625
qwen3-4b-base,4,last,alg,random,16,0,0.503125,0.5042372881355932,0.5101466840698614,0.5031249999999999
qwen3-4b-base,20,u1,heur,full,2560,0,0.4992782275779828,0.5068019625334523,0.5002825457370912,0.505
qwen3-4b-base,24,u1,heur,full,2560,0,0.5075472290215276,0.4957627118644068,0.5110369428551247,0.5
qwen3-4b-base,4,u1,alg,random,1,0,0.5031249999999999,0.5063559322033898,0.5099446827024675,0.50375
qwen3-4b-base,4,last,alg,learned,64,0,0.4979166666666667,0.4931980374665477,0.504568338616446,0.5025
qwen3-4b-base,28,u1,heur,full,2560,0,0.5057741793761376,0.4936440677966102,0.515310447128629,0.498125
qwen3-4b-base,4,u1,heur,learned,128,0,0.6947844097156844,0.632471008028546,0.6759200395564032,0.49687499999999996
qwen3-4b-base,8,u1,alg,random,64,0,0.4979166666666667,0.4889607493309545,0.5072565106594568,0.5025000000000001
qwen3-4b-base,8,last,alg,learned,16,0,0.49895833333333334,0.4910793933987511,0.5018801665734353,0.49937499999999996
qwen3-4b-base,4,u1,heur,learned,64,0,0.6098192430803991,0.5819580731489742,0.6118174754538391,0.505
qwen3-4b-base,8,last,alg,random,64,0,0.5010416666666666,0.4910793933987511,0.5016781652060414,0.505625
qwen3-4b-base,8,last,heur,learned,64,0,0.5143569949162117,0.544157002676182,0.5217913399731582,0.501875
qwen3-4b-base,28,last,alg,full,2560,0,0.5,0.20617752007136486,0.5370128659332463,0.51125
qwen3-4b-base,4,u1,alg,learned,128,0,0.6322916666666667,0.44814897413024085,0.6141773882777053,0.50125
qwen3-4b-base,24,last,heur,learned,16,0,0.6103056549300194,0.7636039250669046,0.6246379882743519,0.50875
qwen3-4b-base,4,u1,heur,learned,4,0,0.5254346325236929,0.5636708296164139,0.534611852793671,0.500625
qwen3-4b-base,4,last,alg,full,2560,0,0.5,0.4889607493309545,0.4991919945304245,0.5
qwen3-4b-base,4,u1,alg,learned,64,0,0.5750000000000001,0.44391168599464764,0.5594039405805209,0.4975
qwen3-4b-base,8,u1,alg,learned,64,1,0.5916666666666667,0.40956735057983945,0.6158555534837467,0.4975
qwen3-4b-base,28,last,heur,full,2560,0,0.6356775246344065,0.7938224799286351,0.6612276612276613,0.51125
qwen3-4b-base,12,u1,heur,full,2560,0,0.6322726416870645,0.5509589652096343,0.6458642367733277,0.5081249999999999
qwen3-4b-base,16,u1,heur,full,2560,0,0.5134626247411034,0.5068019625334523,0.5110369428551247,0.50375
qwen3-4b-base,16,last,heur,learned,64,0,0.5252934161802548,0.5551962533452275,0.5326870099597373,0.498125
qwen3-4b-base,8,u1,alg,learned,4,0,0.5114583333333333,0.5042372881355932,0.5231835415501274,0.503125
olmo3-7b,8,u1,heur,learned,64,0,0.5443439207484151,0.5425145348837209,0.544109545919572,0.5
olmo3-7b,4,u1,heur,full,4096,0,0.719944225562203,0.5908884447674418,0.7411269379082395,0.49937499999999996
olmo3-7b,8,u1,heur,full,4096,0,0.5720041506558361,0.478515625,0.5821004170929409,0.4975
olmo3-7b,4,u1,heur,learned,64,0,0.5840994211780729,0.5638172238372093,0.634787912174392,0.498125
olmo3-7b,8,u1,alg,random,64,0,0.49583333333333335,0.501953125,0.49725274725274726,0.50125
olmo3-7b,4,u1,alg,learned,64,0,0.5739583333333333,0.4440861191860465,0.5823865400136586,0.5
olmo3-7b,4,u1,alg,full,4096,0,0.6177083333333333,0.40911155523255816,0.6330787856211585,0.49937499999999996
olmo3-7b,8,u1,alg,full,4096,0,0.5520833333333334,0.521484375,0.5819985099646117,0.4975
olmo3-7b,8,u1,alg,learned,64,0,0.51875,0.47683502906976744,0.53153908238654,0.50125
olmo3-7b,4,u1,alg,random,64,0,0.4979166666666667,0.50390625,0.49458310051530385,0.499375
gemma2-9b,8,u1,heur,full,3584,0,0.6329778100485206,0.5541458541458542,0.6335030249372879,0.506875
gemma2-9b,4,u1,alg,full,3584,0,0.5979166666666667,0.40962370962370964,0.5905844560878244,0.50625
gemma2-9b,8,u1,alg,full,3584,0,0.5041666666666667,0.5548911872441284,0.5,0.5
gemma2-9b,4,u1,alg,full,3584,0,0.5114583333333333,0.572721396250808,0.5047903446559662,0.5
gemma2-9b,4,u1,alg,learned,64,0,0.49895833333333334,0.49299719887955185,0.49681162125171086,0.5
gemma2-9b,4,u1,heur,full,3584,0,0.4918527958688834,0.42727860374919197,0.49711765522989304,0.5
gemma2-9b,4,u1,heur,learned,64,0,0.6723879095917696,0.6843989343989344,0.643352515862476,0.4925
gemma2-9b,8,u1,heur,full,3584,0,0.4902763180761178,0.44510881275587155,0.5,0.5
