model,task,version,condition,n,acc,ci_lo,ci_hi,chance,acc_length_matched,n_length_matched,acc_gen,acc_gen_dim,gen_parsed,acc_gen_dim|parsed,acc_inorder,acc_swapped,swap_penalty,swapped_ci_lo,swapped_ci_hi
olmo3-7b,T1,v1,INV-LEX,240,0.9125,0.8461453744493392,0.9650655021834061,0.25,0.945,200,0.2708333333333333,0.37083333333333335,0.9541666666666667,0.388646288209607,0.9166666666666666,0.9074074074074074,0.00925925925925919,0.7870370370370371,0.9909930019305019
olmo3-7b,T1,v1,INV-LEX-TWIN,240,0.9,0.8353401842664776,0.9521536301227377,0.25,0.9471153846153846,208,0.30416666666666664,0.5958333333333333,0.9,0.6620370370370371,0.8863636363636364,0.9166666666666666,-0.030303030303030276,0.8303529312668464,0.981667613867013
qwen3-14b-base,T1,v1,ARITH-FAM,240,0.8583333333333333,0.7219862635524026,0.9729790057915058,0.25,0.883177570093458,214,0.4041666666666667,0.6833333333333333,0.925,0.7387387387387387,0.8583333333333333,,,,
qwen3-14b-base,T1,v1,ARITH-INV,240,0.8541666666666666,0.7488762114537445,0.937773502476831,0.25,0.9050279329608939,179,0.24583333333333332,0.6833333333333333,0.9625,0.70995670995671,0.8541666666666666,,,,
qwen3-14b-base,T1,v1,ARITH-INV-NODEF,240,0.8041666666666667,0.7242728395061728,0.8771274368593823,0.25,0.8850574712643678,174,0.20416666666666666,0.3875,0.7333333333333333,0.5284090909090909,0.8041666666666667,,,,
qwen3-14b-base,T1,v1,ARITH-INV-NODEF-TWIN,240,0.8375,0.7056447248987572,0.9427402313670713,0.25,0.917098445595855,193,0.37916666666666665,0.6416666666666667,0.9583333333333334,0.6695652173913044,0.8375,,,,
qwen3-14b-base,T1,v1,ARITH-INV-TWIN,240,0.8458333333333333,0.6974383301707779,0.9621939225128253,0.25,0.918918918918919,185,0.45416666666666666,0.6666666666666666,0.9291666666666667,0.7174887892376681,0.8458333333333333,,,,
qwen3-14b-base,T1,v1,FAM-NAMED,240,0.9875,0.9615343347639486,1.0,0.25,0.9906542056074766,214,0.5,0.7208333333333333,0.9625,0.7489177489177489,0.9862068965517241,0.9894736842105263,-0.0032667876588021727,0.9519201807228915,1.0
qwen3-14b-base,T1,v1,FAM-UNNAMED,240,0.8875,0.8084106984969054,0.955647837567799,0.25,0.9368932038834952,206,0.3125,0.49166666666666664,0.6125,0.8027210884353742,0.9354838709677419,0.8362068965517241,0.0992769744160178,0.7079379005187671,0.9549650096525096
qwen3-14b-base,T1,v1,INV-BASE,240,0.9208333333333333,0.8239942622950819,0.9957274011299435,0.25,0.9695431472081218,197,0.5208333333333334,0.5625,0.6083333333333333,0.9246575342465754,0.9212598425196851,0.9203539823008849,0.0009058602188001252,0.7981651376146789,1.0
